root@OpenWrt:~# ps -w
  PID USER       VSZ STAT COMMAND
 5186 root      1736 S    /usr/sbin/odhcpd
 5207 root      1912 S    /usr/sbin/crond -f -c /etc/crontabs -l 5
 5236 root      1552 S    /usr/bin/dhcpopassthrud
 5402 root     20968 S    lua /usr/bin/transformer
 5439 root      1788 S    /usr/bin/dhcpsnooper -q 0
 5487 root      1324 S    odhcpc -p /var/run/odhcpc-eth4.pid -s /lib/netifd/dhcp.script -f -o -t 0 -i eth4 -x hostname TG799vn v2-C
 5496 root      1644 S    /usr/bin/mcsnooper
 5531 root      1812 S    /usr/bin/neighmd -m 0x7
 6305 root      2624 S    /usr/lib/ipsec/starter --daemon charon
 6307 root     37444 S    /usr/lib/ipsec/charon --use-syslog
 7068 root      4368 S N  /usr/sbin/smbd -D
 7155 root      2748 S    /usr/sbin/nmbd -D
 7188 root      5008 S    {mobiled} /usr/bin/lua /usr/bin/mobiled
 8387 root      5324 S    {lte-doctor-logg} /usr/bin/lua /usr/bin/lte-doctor-logger 5 1 /tmp/lte-doctor.db
 8496 root      1648 S    /usr/bin/fseventd -d
 8595 root      3360 S    /usr/sbin/minitr064d -f /var/etc/minitr064d.conf
 8624 root      6956 S    /usr/bin/mvfs -o config=/tmp/.mvfs/mvfs.ini /var/mvfs -o l=2
 8658 root      2152 S    {time_change_mon} /usr/bin/lua /sbin/time_change_monitor.lua
 8696 root      3428 S    /usr/sbin/miniupnpd-igdv2 -f /var/etc/miniupnpd-tch.conf
 8845 root      7104 S N  /usr/bin/mud -d -t /etc/mud/mud_file_type_config.ini -l 2
 9179 root      1408 S    /sbin/mountd -f
 9287 root      4220 S    lua /usr/bin/pinholehelper.lua
 9317 root      4232 S    lua /usr/bin/redirecthelper.lua
 9328 root      1908 S <  /usr/sbin/ntpd -n -N -l -S /usr/sbin/ntpd-hotplug -p ntp1.rgw.telia.se -p ntp2.rgw.telia.se
 9562 root      1324 S    odhcpc -p /var/run/odhcpc-vlan_mgmt.pid -s /lib/netifd/dhcp.script -f -o -t 0 -i vlan_mgmt -C -R -O 1 -O
12654 root      4304 S    nginx: master process /usr/sbin/nginx -c /etc/nginx/nginx.conf -g daemon off;
12669 nobody    6272 S    nginx: worker process
13041 root     16652 S    /usr/bin/cwmpd
13042 root      4268 S    lua /usr/bin/cwmpevents
13301 root      2204 S    /usr/bin/igmpproxy
13531 root      1324 S    odhcpc -p /var/run/odhcpc-vlan_iptv.pid -s /lib/netifd/dhcp.script -f -o -t 0 -i vlan_iptv -V IPTV_RGW_PR
13537 root      1324 S    odhcpc -p /var/run/odhcpc-vlan_voip.pid -s /lib/netifd/dhcp.script -f -o -t 0 -i vlan_voip -V tel-002- -C
13707 root      2060 S    {dynamic_dns_upd} /bin/sh /usr/lib/ddns/dynamic_dns_updater.sh -v 0 -S myddns_ipv4 -- start
14612 dnsmasq   1984 S    /usr/sbin/dnsmasq -C /var/etc/dnsmasq.conf.dnsmasq -k -x /var/run/dnsmasq/dnsmasq.dnsmasq.pid
14615 root      1916 S    /usr/sbin/dnsmasq -C /var/etc/dnsmasq.conf.dnsmasq -k -x /var/run/dnsmasq/dnsmasq.dnsmasq.pid
16447 root      1904 S    /bin/sh
17899 root      1612 R    /usr/sbin/dropbear -F -P /var/run/dropbear.3.pid -p 192.168.1.1:61122 -p 2001:2002:5ae3:82be::1:61122 -p
17900 root      1912 S    -ash
17981 root      1544 S    /usr/sbin/dropbear -F -P /var/run/dropbear.1.pid -s -p 10.172.123.38:22 -I 3611 -K 300
17982 root      1544 S    /usr/sbin/dropbear -F -P /var/run/dropbear.2.pid -s -p 90.227.130.190:60022 -I 3611 -K 300
17983 root      1544 S    /usr/sbin/dropbear -F -P /var/run/dropbear.3.pid -p 192.168.1.1:22 -p 2001:2002:5ae3:82be::1:22 -p fd2d:1
18019 root         0 SW   [flush-0:11]
